imagen,cluster,pixeles,dispersion_var_LAB,centroid_L,centroid_A,centroid_B
000_seg_000.png,1,2000,0.0,0.0,0.0,0.0
000_seg_000.png,2,1871,41.05278015136719,74.31857299804688,18.279003143310547,-17.80195426940918
000_seg_000.png,3,4852,24.940086364746094,83.04241180419922,14.317299842834473,-5.412457466125488
001_seg_004.png,0,1601,0.0,0.0,0.0,0.0
001_seg_004.png,1,249,69.02312469482422,72.37139129638672,22.558889389038086,-13.74502182006836
001_seg_004.png,2,3692,19.014636993408203,89.38822937011719,13.340874671936035,4.299036979675293
001_seg_004.png,3,1920,25.129274368286133,85.15055847167969,19.031583786010742,-0.43236255645751953
001_seg_000.png,0,3508,10.49989128112793,88.35333251953125,14.691399574279785,3.062014579772949
001_seg_000.png,1,1760,20.694671630859375,84.4935073852539,18.082738876342773,-1.2377406358718872
001_seg_000.png,2,170,111.39920806884766,66.61431121826172,24.83796501159668,-24.37051773071289
001_seg_000.png,3,1866,0.0,0.0,0.0,0.0
000_seg_012.png,0,1779,0.0,0.0,0.0,0.0
000_seg_012.png,1,5853,18.86273956298828,87.19124603271484,13.619115829467773,-7.605632305145264
000_seg_012.png,2,408,46.59501266479492,77.25933837890625,18.410030364990234,-19.184688568115234
000_seg_012.png,3,225,70.77742767333984,64.13671875,27.98820686340332,-34.6446533203125
000_seg_011.png,0,169,98.50617218017578,64.29017639160156,29.361045837402344,-34.78684997558594
000_seg_011.png,1,3563,0.0,0.0,0.0,0.0
000_seg_011.png,2,1215,31.675601959228516,82.46916198730469,15.631325721740723,-14.399417877197266
000_seg_011.png,3,6466,15.286759376525879,87.35798645019531,12.832098960876465,-6.436524868011475
000_seg_008.png,0,4305,6.186814785003662,93.45357513427734,9.934711456298828,-3.9514713287353516
000_seg_008.png,1,433,78.13646697998047,79.16934967041016,18.86769676208496,-26.90163803100586
000_seg_008.png,2,3651,10.751960754394531,92.5043716430664,12.373468399047852,-7.875032901763916
000_seg_008.png,3,2075,0.0,0.0,0.0,0.0
000_seg_001.png,0,5760,12.839323997497559,87.85175323486328,13.23740291595459,-3.4714255332946777
000_seg_001.png,1,437,75.67009735107422,72.2830581665039,23.057353973388672,-21.665855407714844
000_seg_001.png,2,1390,20.000473022460938,84.4542236328125,16.073314666748047,-8.513876914978027
000_seg_001.png,3,2381,0.0,0.0,0.0,0.0
000_seg_017.png,0,2455,0.0,0.0,0.0,0.0
000_seg_017.png,1,551,73.5179672241211,80.46512603759766,23.294797897338867,-17.642196655273438
000_seg_017.png,2,105,147.79046630859375,58.8914794921875,31.550365447998047,-36.438720703125
000_seg_017.png,3,7434,14.29885482788086,89.72174835205078,14.830450057983398,-3.4425978660583496
001_seg_001.png,0,3753,0.0,0.0,0.0,0.0
001_seg_001.png,1,4192,21.453136444091797,86.53241729736328,17.063156127929688,2.421525001525879
001_seg_001.png,2,893,45.04426193237305,78.80021667480469,21.371225357055664,-5.986423015594482
001_seg_001.png,3,234,73.83634185791016,64.65556335449219,26.334487915039062,-23.013086318969727
000_seg_015.png,0,2115,0.0,0.0,0.0,0.0
000_seg_015.png,1,801,40.22130584716797,83.07070922851562,18.264371871948242,-15.59487533569336
000_seg_015.png,2,5918,17.701391220092773,89.51951599121094,13.623214721679688,-6.105876922607422
000_seg_015.png,3,166,79.2863998413086,66.88134765625,30.950103759765625,-31.459861755371094
000_seg_020.png,0,214,146.7813262939453,71.1358642578125,36.2477912902832,-31.880319595336914
000_seg_020.png,1,2706,0.0,0.0,0.0,0.0
000_seg_020.png,2,2696,17.11626434326172,90.88504028320312,14.836149215698242,-7.859949588775635
000_seg_020.png,3,5382,10.307873725891113,92.5188980102539,11.555428504943848,-3.8177459239959717
001_seg_002.png,0,2067,0.0,0.0,0.0,0.0
001_seg_002.png,1,3155,24.269302368164062,86.89501190185547,17.287933349609375,0.8288733959197998
001_seg_002.png,2,277,61.13649368286133,74.09735107421875,22.874723434448242,-13.76575756072998
001_seg_002.png,3,3631,17.912410736083984,91.3864517211914,10.422794342041016,3.9669206142425537
000_seg_013.png,0,889,48.45547866821289,81.84841918945312,17.942842483520508,-15.9382963180542
000_seg_013.png,1,1821,0.0,0.0,0.0,0.0
000_seg_013.png,2,331,107.21920776367188,62.93947219848633,32.245277404785156,-36.841129302978516
000_seg_013.png,3,5407,16.05543327331543,89.39974975585938,13.839112281799316,-6.1235480308532715
000_seg_010.png,0,271,118.96382141113281,56.73940658569336,27.400434494018555,-34.740997314453125
000_seg_010.png,1,4280,24.943166732788086,82.409912109375,13.433663368225098,-4.593653202056885
000_seg_010.png,2,1332,0.0,0.0,0.0,0.0
000_seg_010.png,3,1201,48.075469970703125,76.19099426269531,16.939537048339844,-13.976362228393555
000_seg_021.png,0,4091,14.461628913879395,93.5940933227539,10.10981559753418,-5.570464134216309
000_seg_021.png,1,466,63.51974868774414,85.50479125976562,16.84263038635254,-16.319564819335938
000_seg_021.png,2,1021,0.0,0.0,0.0,0.0
000_seg_021.png,3,155,137.64553833007812,68.13356018066406,27.16019058227539,-34.68537521362305
001_seg_010.png,0,1555,15.469320297241211,86.35941314697266,16.60880470275879,2.1446385383605957
001_seg_010.png,1,1009,29.129390716552734,82.84435272216797,19.37346839904785,-5.262250900268555
001_seg_010.png,2,970,0.0,0.0,0.0,0.0
001_seg_010.png,3,123,100.6125717163086,63.646183013916016,20.67315101623535,-23.31348991394043
000_seg_007.png,0,6227,14.156923294067383,93.60196685791016,10.172882080078125,-5.239888668060303
000_seg_007.png,1,156,141.02133178710938,64.90413665771484,32.541770935058594,-38.1676139831543
000_seg_007.png,2,720,60.9436149597168,85.71635437011719,15.391871452331543,-14.988539695739746
000_seg_007.png,3,2896,0.0,0.0,0.0,0.0
000_seg_006.png,0,107,137.21119689941406,58.704280853271484,28.963403701782227,-43.7332878112793
000_seg_006.png,1,7059,12.858114242553711,90.71087646484375,12.520956039428711,-6.865546226501465
000_seg_006.png,2,326,74.84674835205078,79.97502136230469,16.646190643310547,-20.71074104309082
000_seg_006.png,3,2111,0.0,0.0,0.0,0.0
000_seg_005.png,0,2477,10.685705184936523,94.2109146118164,8.556462287902832,-4.36834192276001
000_seg_005.png,1,5300,12.884354591369629,91.65321350097656,12.540334701538086,-7.615794658660889
000_seg_005.png,2,3004,0.0,0.0,0.0,0.0
000_seg_005.png,3,127,259.3728332519531,65.53216552734375,29.874841690063477,-37.84138488769531
001_seg_005.png,0,2634,37.75539779663086,82.61618041992188,19.914588928222656,-1.7567384243011475
001_seg_005.png,1,3268,20.133953094482422,88.43263244628906,13.969980239868164,5.109965801239014
001_seg_005.png,2,423,97.96891784667969,65.8573989868164,23.319263458251953,-19.971467971801758
001_seg_005.png,3,2495,0.0,0.0,0.0,0.0
000_seg_014.png,0,342,161.45359802246094,60.004539489746094,27.973907470703125,-31.629226684570312
000_seg_014.png,1,2620,0.0,0.0,0.0,0.0
000_seg_014.png,2,7737,22.93735122680664,87.64983367919922,13.768482208251953,-3.5625288486480713
000_seg_014.png,3,1289,46.36150360107422,80.48006439208984,17.02403450012207,-11.619796752929688
000_seg_038.png,0,6190,11.654581069946289,91.06377410888672,11.005208015441895,-5.568675994873047
000_seg_038.png,1,2350,23.450334548950195,87.86253356933594,14.520807266235352,-9.974690437316895
